"table","category","group","analysis","metric","old_value","new_value","difference","old_display","new_display"
"Table 7","Journal Rank","Other","capm","pub_oos",55.4107546416253,55.4107546416253,0,"55","55"
"Table 7","Journal Rank","Other","capm","pub_oos_se",6.19019700234231,9.21982126442227,3.02962426207996,"6","9"
"Table 7","Journal Rank","Other","capm","outperform",2.08393644260659,2.08393644260658,-4.88498130835069e-15,"2","2"
"Table 7","Journal Rank","Other","capm","outperform_se",6.53251047706892,9.66031101504347,3.12780053797455,"7","10"
"Table IA.10","","No Model","capm","pub_oos",61.5834333663985,61.5834333663985,7.105427357601e-15,"62","62"
"Table IA.10","","No Model","capm","pub_oos_se",3.26592053731462,7.02109583067572,3.7551752933611,"3","7"
"Table IA.10","","No Model","capm","outperform",9.07162118729025,9.07162118729024,-3.5527136788005e-15,"9","9"
"Table IA.10","","No Model","capm","outperform_se",3.39710173697803,7.07406254357575,3.67696080659772,"3","7"
"Table IA.10","","Any Model","capm","pub_oos",49.6005273051906,49.393973355824,-0.206553949366651,"50","49"
"Table IA.10","","Any Model","capm","pub_oos_se",13.795250480592,14.9432863050532,1.14803582446127,"14","15"
"Table IA.10","","Any Model","capm","outperform",-0.0882006027292732,-2.58658778811956,-2.49838718539029,"0","-3"
"Table IA.10","","Any Model","capm","outperform_se",16.6585247925933,12.9332925906423,-3.72523220195101,"17","13"
"Table 6","Theoretical Foundation","Risk","ff4","pub_oos",43.6407353073738,43.6407353073738,0,"44","44"
"Table 6","Theoretical Foundation","Risk","ff4","pub_oos_se",6.36256793058053,14.4986310834999,8.13606315291938,"6","14"
"Table 6","Theoretical Foundation","Risk","ff4","outperform",-6.11619527966239,-6.1161952796624,-7.105427357601e-15,"-6","-6"
"Table 6","Theoretical Foundation","Risk","ff4","outperform_se",6.90865225315218,11.792817324432,4.88416507127983,"7","12"
"Table 6","Theoretical Foundation","Mispricing","ff4","pub_oos",60.5583286689894,60.5583286689894,0,"61","61"
"Table 6","Theoretical Foundation","Mispricing","ff4","pub_oos_se",4.07475710450147,7.60799580972666,3.53323870522519,"4","8"
"Table 6","Theoretical Foundation","Mispricing","ff4","outperform",-3.26203131388019,-3.26203131388019,-4.44089209850063e-15,"-3","-3"
"Table 6","Theoretical Foundation","Mispricing","ff4","outperform_se",4.29355637633493,8.93761419394095,4.64405781760602,"4","9"
